var_id,ram_addr,size,name_or_blank,scaling_or_blank,evidence
929,0x8021f1,1,,fmt=0x05 A=0x0a,"handler 0x41b14; also reads 0x7fef93/1,0x7fef8f/1; tools/measuring_vars.py"
939,0x801798,2,,fmt=0x05 A=0x3c,handler 0x41b8c; tools/measuring_vars.py
951,0x7f9cd1,1,,fmt=0x25,handler 0x41bd4; also reads 0x7fd1bd/1; tools/measuring_vars.py
952,0x7f9dd9,1,,fmt=0x25,handler 0x41c50; also reads 0x7fed7c/2; tools/measuring_vars.py
955,0x80174a,2,,fmt=0x05 A=0x3c,handler 0x41ccc; tools/measuring_vars.py
957,0x801a60,2,,fmt=0x05 A=0x3c,handler 0x41d14; tools/measuring_vars.py
976,0x7f9dd9,1,,fmt=0x25,handler 0x41d5c; also reads 0x7fed7c/2; tools/measuring_vars.py
977,0x7f9ddb,1,,fmt=0x25,handler 0x41dd8; also reads 0x7fed7e/2; tools/measuring_vars.py
988,0x7fd22b,1,,fmt=0x25 A=0x00,handler 0x41e54; tools/measuring_vars.py
989,0x800de2,2,,fmt=0x1f A=0x14,handler 0x41e7c; tools/measuring_vars.py
990,0x800e14,2,,fmt=0x3d A=0x40,handler 0x41ea8; tools/measuring_vars.py
991,0x800e16,2,,fmt=0x3d A=0x40,handler 0x41ef0; tools/measuring_vars.py
992,0x801348,1,,fmt=0x10 A=0xff,"handler 0x41f38; also reads 0x7f9ca1/1,0x7fcf7e/1,0x7fcf7f/1; tools/measuring_vars.py"
999,,,,,"handler 0x41ffc; reads flash 0x5c6094,0x5c6095,0x5c6096; tools/measuring_vars.py"
1001,0x80304a,2,,fmt=0x1f A=0x28,handler 0x4200c; tools/measuring_vars.py
1003,0x80156a,2,,fmt=0x2a A=0x0f,handler 0x42038; tools/measuring_vars.py
1004,0x80158c,2,,fmt=0x1f A=0x0a,handler 0x42104; tools/measuring_vars.py
1005,0x803168,2,,fmt=0x5b,handler 0x42118; tools/measuring_vars.py
1006,0x803164,2,,fmt=0x5b A=0x10,handler 0x4213c; tools/measuring_vars.py
1007,0x8033fe,2,,fmt=0x5b A=0x10,handler 0x4217c; tools/measuring_vars.py
1008,0x803452,2,,fmt=0x42 A=0x0a,handler 0x421bc; tools/measuring_vars.py
1009,0x8031ae,2,,fmt=0x53,handler 0x421e0; tools/measuring_vars.py
1010,0x8031a6,2,,fmt=0x63,handler 0x421fc; tools/measuring_vars.py
1011,0x80319a,2,,fmt=0x53,handler 0x42210; tools/measuring_vars.py
1012,0x8031aa,2,,fmt=0x53,handler 0x4222c; tools/measuring_vars.py
1015,0x7f9408,2,,fmt=0x63,handler 0x42248; tools/measuring_vars.py
1016,0x80319c,2,,fmt=0x63,handler 0x4225c; tools/measuring_vars.py
1018,0x7fd2df,1,,fmt=0x10 A=0xff,"handler 0x42270; also reads 0x7f9c57/1,0x7fd2eb/1,0x7fec35/1,0x7fd2d9/1; tools/measuring_vars.py"
1019,0x7fec25,1,,fmt=0x10 A=0xff,"handler 0x42310; also reads 0x7fd2e0/1,0x7f9420/1,0x7f9d1f/1; tools/measuring_vars.py"
1020,0x7fce01,1,,fmt=0x10 A=0xff,"handler 0x42380; also reads 0x7fed7c/2,0x7f9c57/1,0x7fd2e0/1,0x7fd2df/1; tools/measuring_vars.py"
1021,0x7fd2df,1,,fmt=0x25 A=0x00,"handler 0x42444; also reads 0x7f9c56/1,0x7fd2e0/1; tools/measuring_vars.py"
