start,end,r13_read,r13_write,r13_addr,abs_read,abs_write,abs_addr,ptr_words,ptr_cal,init_bytes,known,free_candidate
0x7FD2A0,0x7FD2BF,357,167,6,0,0,0,2,0,32,,0
0x7FD2C0,0x7FD2DF,238,108,4,0,0,0,0,0,32,immo_eeprom_mirror,0
0x7FD2E0,0x7FD2FF,128,90,0,0,0,0,0,0,32,immo_eeprom_mirror,0
0x7FD300,0x7FD31F,85,41,5,0,0,0,1,0,32,,0
0x7FD320,0x7FD33F,63,52,4,0,0,0,1,0,32,,0
0x7FD340,0x7FD35F,45,35,9,0,0,0,0,0,32,,0
0x7FD360,0x7FD37F,144,77,1,0,0,0,2,0,32,,0
0x7FD380,0x7FD39F,152,118,1,0,0,0,0,0,32,,0
0x7FD3A0,0x7FD3BF,96,61,16,0,0,0,3,0,32,,0
0x7FD3C0,0x7FD3DF,136,133,0,0,0,0,0,0,32,,0
0x7FD3E0,0x7FD3FF,505,195,1,0,0,0,2,0,32,,0
0x7FD400,0x7FD41F,130,43,1,0,0,0,27,0,32,,0
0x7FD420,0x7FD43F,150,106,1,0,0,0,6,0,32,,0
0x7FD440,0x7FD45F,135,71,4,0,0,0,0,0,32,,0
0x7FD460,0x7FD47F,116,63,3,0,0,0,0,0,32,,0
0x7FD480,0x7FD49F,161,58,1,0,0,0,2,0,32,,0
0x7FD4A0,0x7FD4BF,112,188,0,0,0,0,0,0,32,,0
0x7FD4C0,0x7FD4DF,80,52,0,0,0,0,0,0,32,,0
0x7FD4E0,0x7FD4FF,132,32,1,0,0,0,1,0,32,,0
0x7FD500,0x7FD51F,184,32,2,0,0,0,1,0,32,,0
0x7FD520,0x7FD53F,104,32,0,0,0,0,0,0,32,,0
0x7FD540,0x7FD55F,104,36,0,0,0,0,0,0,32,,0
0x7FD560,0x7FD57F,224,44,0,0,0,0,0,0,32,,0
0x7FD580,0x7FD59F,28,8,12,0,0,0,0,0,32,,0
0x7FD5A0,0x7FD5BF,36,8,9,0,0,0,0,0,32,,0
0x7FD5C0,0x7FD5DF,172,36,0,0,0,0,0,0,32,,0
0x7FD5E0,0x7FD5FF,120,32,0,0,0,0,0,0,32,,0
