# session: ff_fuel, 2026-09-22T20:03:05+03:00
# ecu: 03H906032 / 1037382557
# dump_sha256: b15590d3f1874ace3125c5d047c09a686db9b8bb498187663539ebab205609b3
# transport: KWP2000 0x2C/0x21 over TP2.0
# source_file: /Users/carlo/ecu_azx/.claude/worktrees/agent-a75332f8901c56fe1/logging/sessions/ff_fuel.json
# simulated: true
# simulated_by: logging/ecu_sim.py -- NOT a recording of an ECU
# sim_patch: /Users/carlo/ecu_azx/.claude/worktrees/agent-a75332f8901c56fe1/patches/ff_fuel
# sim_time_scale: 5
time_s,var,value,unit
0.2049,ff_magic,1179004977,-
0.2049,ff_length,76,B
0.2049,ff_csum,64286,-
0.2049,ff_e_filt,2.875,%
0.2049,ff_f_q10,1.01855,-
0.2049,ff_mode,1,-
0.2049,ff_status,0,-
0.2049,ff_e_raw,85,%
0.2049,ff_t_fuel,25,degC
0.2049,ff_frame_ctr,14,-
0.2049,ff_fw_ver,1,-
0.2049,ff_cal_mode,1,-
0.2049,ff_cal_ok,1,-
0.2049,ff_age_ticks,0.02,s
0.2049,ff_hold_ticks,0,s
0.2049,ff_frames,15,count
0.2049,ff_faults,0,count
0.2049,ff_stall,0,count
0.2049,ff_src_owner,1,-
0.2049,ff_src_seen,1,-
0.2049,ff_src_foreign,0,count
0.2049,ff_ticks,146,count
0.2049,ff_e_key,0,%
0.2049,ff_e_frac,638,-
0.2049,ff_frame_bad,0,-
0.2049,ff_dzw_e,0,degCA
0.2049,ff_fzw_q8,0,-
0.2049,ff_rk_calls,70,count
0.2049,ff_e_persist,0,%
0.2049,ff_persist_state,0,-
0.2049,ff_persist_err,2,-
0.2049,ff_diag_e_pct,3,%
0.2049,ff_diag_f_pct,101,%
0.2049,ff_diag_t_degc,25,degC
0.2049,ff_persist_wait,58.54,s
0.2049,ff_persist_writes,0,count
0.2049,ff_persist_fails,0,count
0.2049,eep_blk8_mirror_b0,0,%
0.2049,eep_blk8_mirror_b1,0,%
0.2049,eep_blk8_mirror_b2,0,%
0.2049,eep_blk8_mirror_b14,0,-
0.2049,eep_blk8_mirror_b29,0,-
0.2049,eep_blk8_mirror_csum,0,-
0.2049,nvm_queue_state,0,-
0.2049,raster_setA_10ms_count,146,count
0.2049,raster_setB_10ms_count,0,count
0.2049,raster_setB_1ms_count,0,count
0.2049,rk_fuel_mass,1248,-
0.2049,zwist_display_b1,15,degCA
0.2049,dwkrz_0,0,degCA
0.2049,dwkrz_1,0,degCA
0.2049,dwkrz_2,0,degCA
0.2049,dwkrz_3,0,degCA
0.2049,dwkrz_4,0,degCA
0.2049,dwkrz_5,0,degCA
0.2049,wkrm,0,degCA
0.2049,zw_low_octane_latch,0,-
0.2049,rl_w,28.4912,%
0.2049,nmot_w,1121,rpm
0.2049,rl_for_fuel,28.4912,%
0.2049,tmot,20.25,degC
0.2049,can_rx_spare0_b0,85,%
0.2049,can_rx_spare0_ctr,19,-
0.2049,ff_fst_q10,1,-
0.2049,ff_zwst_add,0,degCA
0.2049,tmst,-48,degC
0.2049,ksta_adapted,1,-
0.2049,zwstt,0,degCA
0.2049,B_st,0,-
0.2049,B_stend,0,-
0.2049,anztist,0,count
0.2049,zdgz,0,count
0.2049,tnst_w,0,count
0.2049,fr_w_b1,0,-
0.2049,rlsol_req,0,%
0.2049,rl_max_arb,0.195312,%
0.2049,ff_msv_sat_ticks,0,count
0.2049,ff_prail_add,0,bar
0.2049,ff_win_margin_min,-2.8125,degCA
0.2049,ff_prist_min,60,bar
0.2049,ff_diag_ticks,54,count
0.2049,prsoll_raw,0,bar
0.2049,prsoll_clamped,0,bar
0.2049,prsoll_rate,0,bar
0.2049,prsoll_w,61,bar
0.2049,prist_w,60,bar
0.2049,prdiff,0,bar
0.2049,vhdp_spare,16,-
0.2049,vmsv_limited,512,-
0.2049,wbho1s_w,4.6875,degCA
0.2049,dwi_inj_angle,7.5,degCA
0.2049,win_margin_req,0,0.75 degCA
0.2049,ti_sum,2400,us
0.5495,ff_magic,1179004977,-
0.5495,ff_length,76,B
0.5495,ff_csum,64413,-
0.5495,ff_e_filt,5.125,%
0.5495,ff_f_q10,1.03418,-
0.5495,ff_mode,1,-
0.5495,ff_status,0,-
0.5495,ff_e_raw,85,%
0.5495,ff_t_fuel,25,degC
0.5495,ff_frame_ctr,24,-
0.5495,ff_fw_ver,1,-
0.5495,ff_cal_mode,1,-
0.5495,ff_cal_ok,1,-
0.5495,ff_age_ticks,0.15,s
0.5495,ff_hold_ticks,0,s
0.5495,ff_frames,25,count
0.5495,ff_faults,0,count
0.5495,ff_stall,0,count
0.5495,ff_src_owner,1,-
0.5495,ff_src_seen,1,-
0.5495,ff_src_foreign,0,count
0.5495,ff_ticks,257,count
0.5495,ff_e_key,0,%
0.5495,ff_e_frac,71,-
0.5495,ff_frame_bad,0,-
0.5495,ff_dzw_e,0,degCA
0.5495,ff_fzw_q8,0,-
0.5495,ff_rk_calls,139,count
0.5495,ff_e_persist,0,%
0.5495,ff_persist_state,0,-
0.5495,ff_persist_err,2,-
0.5495,ff_diag_e_pct,5,%
0.5495,ff_diag_f_pct,103,%
0.5495,ff_diag_t_degc,25,degC
0.5495,ff_persist_wait,57.43,s
0.5495,ff_persist_writes,0,count
0.5495,ff_persist_fails,0,count
0.5495,eep_blk8_mirror_b0,0,%
0.5495,eep_blk8_mirror_b1,0,%
0.5495,eep_blk8_mirror_b2,0,%
0.5495,eep_blk8_mirror_b14,0,-
0.5495,eep_blk8_mirror_b29,0,-
0.5495,eep_blk8_mirror_csum,0,-
0.5495,nvm_queue_state,0,-
0.5495,raster_setA_10ms_count,256,count
0.5495,raster_setB_10ms_count,0,count
0.5495,raster_setB_1ms_count,0,count
0.5495,rk_fuel_mass,1438,-
0.5495,zwist_display_b1,15,degCA
0.5495,dwkrz_0,0,degCA
0.5495,dwkrz_1,0,degCA
0.5495,dwkrz_2,0,degCA
0.5495,dwkrz_3,0,degCA
0.5495,dwkrz_4,0,degCA
0.5495,dwkrz_5,0,degCA
0.5495,wkrm,0,degCA
0.5495,zw_low_octane_latch,0,-
0.5495,rl_w,36.499,%
0.5495,nmot_w,1365.25,rpm
0.5495,rl_for_fuel,36.499,%
0.5495,tmot,21,degC
0.5495,can_rx_spare0_b0,85,%
0.5495,can_rx_spare0_ctr,30,-
0.5495,ff_fst_q10,1,-
0.5495,ff_zwst_add,0,degCA
