# session: ff_fuel, 2026-09-17T15:23:58+03:00
# ecu: 03H906032 / 1037382557
# dump_sha256: b15590d3f1874ace3125c5d047c09a686db9b8bb498187663539ebab205609b3
# transport: KWP2000 0x2C/0x21 over TP2.0
# source_file: /Users/carlo/ecu_azx/.claude/worktrees/agent-a018e0e0ede90c99f/logging/sessions/ff_fuel.json
# simulated: true
# simulated_by: logging/ecu_sim.py -- NOT a recording of an ECU
# sim_patch: /Users/carlo/ecu_azx/.claude/worktrees/agent-a018e0e0ede90c99f/patches/ff_fuel
# sim_time_scale: 5
time_s,var,value,unit
0.8423,ff_status,0,-
0.8423,ff_e_raw,85,%
0.8423,ff_t_fuel,25,degC
0.8423,ff_frame_ctr,44,-
0.8423,ff_fw_ver,1,-
0.8423,ff_cal_mode,1,-
0.8423,ff_cal_ok,1,-
0.8423,ff_age_ticks,0.24,s
0.8423,ff_hold_ticks,0,s
0.8423,ff_frames,45,count
0.8423,ff_faults,0,count
0.8423,ff_stall,0,count
0.8423,ff_src_owner,1,-
0.8423,ff_src_seen,1,-
0.8423,ff_src_foreign,0,count
0.8423,ff_ticks,382,count
0.8423,ff_e_key,0,%
0.8423,ff_e_frac,1010,-
0.8423,ff_frame_bad,0,-
0.8423,ff_dzw_e,0,degCA
0.8423,ff_fzw_q8,0,-
0.8423,ff_rk_calls,233,count
0.8423,ff_e_persist,0,%
0.8423,ff_persist_state,0,-
0.8423,ff_persist_err,2,-
0.8423,ff_diag_e_pct,8,%
0.8423,ff_diag_f_pct,104,%
0.8423,ff_diag_t_degc,25,degC
0.8423,ff_persist_wait,56.18,s
0.8423,ff_persist_writes,0,count
0.8423,ff_persist_fails,0,count
0.8423,eep_blk8_mirror_b0,0,%
0.8423,eep_blk8_mirror_b14,0,-
0.8423,eep_blk8_mirror_b29,0,-
0.8423,eep_blk8_mirror_csum,0,-
0.8423,nvm_queue_state,0,-
0.8423,raster_setA_10ms_count,381,count
0.8423,raster_setB_10ms_count,0,count
0.8423,raster_setB_1ms_count,0,count
0.8423,rk_fuel_mass,1640,-
0.8423,ti_sum,157286,ms
0.8423,dwi_inj_angle,7.5,degCA
0.8423,zwist_display_b1,15,degCA
0.8423,dwkrz_0,0,degCA
0.8423,dwkrz_1,0,degCA
0.8423,dwkrz_2,0,degCA
0.8423,dwkrz_3,0,degCA
0.8423,dwkrz_4,0,degCA
0.8423,dwkrz_5,0,degCA
0.8423,wkrm,0,degCA
0.8423,zw_low_octane_latch,0,-
0.8423,rl_w,45.4834,%
0.8423,prist_w,60,bar
0.8423,nmot_w,1640.25,rpm
0.8423,rl_for_fuel,45.4834,%
0.8423,tmot,21.75,degC
0.8423,can_rx_spare0_b0,85,%
0.8423,can_rx_spare0_ctr,51,-
0.8423,ff_fst_q10,1,-
0.8423,ff_zwst_add,0,degCA
0.8423,tmst,-48,degC
0.8423,ksta_adapted,1,-
0.8423,zwstt,0,degCA
0.8423,B_st,0,-
0.8423,B_stend,0,-
0.8423,anztist,0,count
0.8423,zdgz,0,count
0.8423,tnst_w,0,count
0.8423,fr_w_b1,0,-
0.8423,rlsol_req,0,%
0.8423,rl_max_arb,0.195312,%
1.1646,ff_magic,1179004977,-
1.1646,ff_length,68,B
1.1646,ff_csum,64695,-
1.1646,ff_e_filt,10,%
1.1646,ff_f_q10,1.06641,-
1.1646,ff_mode,1,-
1.1646,ff_status,0,-
1.1646,ff_e_raw,85,%
1.1646,ff_t_fuel,25,degC
1.1646,ff_frame_ctr,60,-
1.1646,ff_fw_ver,1,-
1.1646,ff_cal_mode,1,-
1.1646,ff_cal_ok,1,-
1.1646,ff_age_ticks,0.21,s
1.1646,ff_hold_ticks,0,s
1.1646,ff_frames,61,count
1.1646,ff_faults,0,count
1.1646,ff_stall,0,count
1.1646,ff_src_owner,1,-
1.1646,ff_src_seen,1,-
1.1646,ff_src_foreign,0,count
1.1646,ff_ticks,502,count
1.1646,ff_e_key,0,%
1.1646,ff_e_frac,314,-
1.1646,ff_frame_bad,0,-
1.1646,ff_dzw_e,0,degCA
1.1646,ff_fzw_q8,0,-
1.1646,ff_rk_calls,339,count
1.1646,ff_e_persist,0,%
1.1646,ff_persist_state,0,-
1.1646,ff_persist_err,2,-
1.1646,ff_diag_e_pct,10,%
1.1646,ff_diag_f_pct,106,%
1.1646,ff_diag_t_degc,25,degC
1.1646,ff_persist_wait,54.98,s
1.1646,ff_persist_writes,0,count
1.1646,ff_persist_fails,0,count
1.1646,eep_blk8_mirror_b0,0,%
1.1646,eep_blk8_mirror_b14,0,-
1.1646,eep_blk8_mirror_b29,0,-
1.1646,eep_blk8_mirror_csum,0,-
1.1646,nvm_queue_state,0,-
1.1646,raster_setA_10ms_count,501,count
1.1646,raster_setB_10ms_count,0,count
1.1646,raster_setB_1ms_count,0,count
1.1646,rk_fuel_mass,1863,-
1.1646,ti_sum,157286,ms
1.1646,dwi_inj_angle,7.5,degCA
1.1646,zwist_display_b1,15,degCA
1.1646,dwkrz_0,0,degCA
1.1646,dwkrz_1,0,degCA
1.1646,dwkrz_2,0,degCA
1.1646,dwkrz_3,0,degCA
1.1646,dwkrz_4,0,degCA
1.1646,dwkrz_5,0,degCA
1.1646,wkrm,0,degCA
1.1646,zw_low_octane_latch,0,-
1.1646,rl_w,54.126,%
1.1646,prist_w,60,bar
1.1646,nmot_w,1904.25,rpm
1.1646,rl_for_fuel,54.126,%
1.1646,tmot,22.5,degC
1.1646,can_rx_spare0_b0,85,%
1.1646,can_rx_spare0_ctr,68,-
1.1646,ff_fst_q10,1,-
1.1646,ff_zwst_add,0,degCA
1.1646,tmst,-48,degC
1.1646,ksta_adapted,1,-
1.1646,zwstt,0,degCA
1.1646,B_st,0,-
1.1646,B_stend,0,-
1.1646,anztist,0,count
1.1646,zdgz,0,count
