# session: ff_fuel, 2026-09-22T20:01:56+03:00
# ecu: 03H906032 / 1037382557
# dump_sha256: b15590d3f1874ace3125c5d047c09a686db9b8bb498187663539ebab205609b3
# transport: KWP2000 0x2C/0x21 over TP2.0
# source_file: /Users/carlo/ecu_azx/.claude/worktrees/agent-a75332f8901c56fe1/logging/sessions/ff_fuel.json
# simulated: true
# simulated_by: logging/ecu_sim.py -- NOT a recording of an ECU
# sim_patch: /Users/carlo/ecu_azx/.claude/worktrees/agent-a75332f8901c56fe1/patches/ff_fuel
# sim_time_scale: 5
time_s,var,value,unit
0.2061,ff_magic,1179004977,-
0.2061,ff_length,76,B
0.2061,ff_csum,64212,-
0.2061,ff_e_filt,2.875,%
0.2061,ff_f_q10,1.01855,-
0.2061,ff_mode,1,-
0.2061,ff_status,0,-
0.2061,ff_e_raw,85,%
0.2061,ff_t_fuel,25,degC
0.2061,ff_frame_ctr,14,-
0.2061,ff_fw_ver,1,-
0.2061,ff_cal_mode,1,-
0.2061,ff_cal_ok,1,-
0.2061,ff_age_ticks,0.04,s
0.2061,ff_hold_ticks,0,s
0.2061,ff_frames,15,count
0.2061,ff_faults,0,count
0.2061,ff_stall,0,count
0.2061,ff_src_owner,1,-
0.2061,ff_src_seen,1,-
0.2061,ff_src_foreign,0,count
0.2061,ff_ticks,147,count
0.2061,ff_e_key,0,%
0.2061,ff_e_frac,965,-
0.2061,ff_frame_bad,0,-
0.2061,ff_dzw_e,0,degCA
0.2061,ff_fzw_q8,0,-
0.2061,ff_rk_calls,70,count
0.2061,ff_e_persist,0,%
0.2061,ff_persist_state,0,-
0.2061,ff_persist_err,2,-
0.2061,ff_diag_e_pct,3,%
0.2061,ff_diag_f_pct,101,%
0.2061,ff_diag_t_degc,25,degC
0.2061,ff_persist_wait,58.53,s
0.2061,ff_persist_writes,0,count
0.2061,ff_persist_fails,0,count
0.2061,eep_blk8_mirror_b0,0,%
0.2061,eep_blk8_mirror_b1,0,%
0.2061,eep_blk8_mirror_b2,0,%
0.2061,eep_blk8_mirror_b14,0,-
0.2061,eep_blk8_mirror_b29,0,-
0.2061,eep_blk8_mirror_csum,0,-
0.2061,nvm_queue_state,0,-
0.2061,raster_setA_10ms_count,147,count
0.2061,raster_setB_10ms_count,0,count
0.2061,raster_setB_1ms_count,0,count
0.2061,rk_fuel_mass,1251,-
0.2061,zwist_display_b1,15,degCA
0.2061,dwkrz_0,0,degCA
0.2061,dwkrz_1,0,degCA
0.2061,dwkrz_2,0,degCA
0.2061,dwkrz_3,0,degCA
0.2061,dwkrz_4,0,degCA
0.2061,dwkrz_5,0,degCA
0.2061,wkrm,0,degCA
0.2061,zw_low_octane_latch,0,-
0.2061,rl_w,28.5645,%
0.2061,nmot_w,1123.25,rpm
0.2061,rl_for_fuel,28.5645,%
0.2061,tmot,20.25,degC
0.2061,can_rx_spare0_b0,85,%
0.2061,can_rx_spare0_ctr,19,-
0.2061,ff_fst_q10,1,-
0.2061,ff_zwst_add,0,degCA
0.2061,tmst,-48,degC
0.2061,ksta_adapted,1,-
