# session: ff_fuel, 2026-09-22T20:02:21+03:00
# ecu: 03H906032 / 1037382557
# dump_sha256: b15590d3f1874ace3125c5d047c09a686db9b8bb498187663539ebab205609b3
# transport: KWP2000 0x2C/0x21 over TP2.0
# source_file: /Users/carlo/ecu_azx/.claude/worktrees/agent-a75332f8901c56fe1/logging/sessions/ff_fuel.json
# simulated: true
# simulated_by: logging/ecu_sim.py -- NOT a recording of an ECU
# sim_patch: /Users/carlo/ecu_azx/.claude/worktrees/agent-a75332f8901c56fe1/patches/ff_fuel
# sim_time_scale: 5
time_s,var,value,unit
0.2067,ff_magic,1179004977,-
0.2067,ff_length,76,B
0.2067,ff_csum,64244,-
0.2067,ff_e_filt,2.8125,%
0.2067,ff_f_q10,1.01855,-
0.2067,ff_mode,1,-
0.2067,ff_status,0,-
0.2067,ff_e_raw,85,%
0.2067,ff_t_fuel,25,degC
0.2067,ff_frame_ctr,14,-
0.2067,ff_fw_ver,1,-
0.2067,ff_cal_mode,1,-
0.2067,ff_cal_ok,1,-
0.2067,ff_age_ticks,0.02,s
0.2067,ff_hold_ticks,0,s
0.2067,ff_frames,15,count
0.2067,ff_faults,0,count
0.2067,ff_stall,0,count
0.2067,ff_src_owner,1,-
0.2067,ff_src_seen,1,-
0.2067,ff_src_foreign,0,count
0.2067,ff_ticks,143,count
0.2067,ff_e_key,0,%
0.2067,ff_e_frac,681,-
0.2067,ff_frame_bad,0,-
0.2067,ff_dzw_e,0,degCA
0.2067,ff_fzw_q8,0,-
0.2067,ff_rk_calls,68,count
0.2067,ff_e_persist,0,%
0.2067,ff_persist_state,0,-
0.2067,ff_persist_err,2,-
0.2067,ff_diag_e_pct,3,%
0.2067,ff_diag_f_pct,101,%
0.2067,ff_diag_t_degc,25,degC
0.2067,ff_persist_wait,58.57,s
0.2067,ff_persist_writes,0,count
0.2067,ff_persist_fails,0,count
0.2067,eep_blk8_mirror_b0,0,%
0.2067,eep_blk8_mirror_b1,0,%
0.2067,eep_blk8_mirror_b2,0,%
0.2067,eep_blk8_mirror_b14,0,-
0.2067,eep_blk8_mirror_b29,0,-
0.2067,eep_blk8_mirror_csum,0,-
0.2067,nvm_queue_state,0,-
0.2067,raster_setA_10ms_count,143,count
0.2067,raster_setB_10ms_count,0,count
0.2067,raster_setB_1ms_count,0,count
0.2067,rk_fuel_mass,1244,-
0.2067,zwist_display_b1,15,degCA
0.2067,dwkrz_0,0,degCA
0.2067,dwkrz_1,0,degCA
0.2067,dwkrz_2,0,degCA
0.2067,dwkrz_3,0,degCA
0.2067,dwkrz_4,0,degCA
0.2067,dwkrz_5,0,degCA
0.2067,wkrm,0,degCA
0.2067,zw_low_octane_latch,0,-
0.2067,rl_w,28.2959,%
0.2067,nmot_w,1114.5,rpm
0.2067,rl_for_fuel,28.2959,%
0.2067,tmot,20.25,degC
0.2067,can_rx_spare0_b0,85,%
0.2067,can_rx_spare0_ctr,19,-
0.2067,ff_fst_q10,1,-
0.2067,ff_zwst_add,0,degCA
0.2067,tmst,-48,degC
0.2067,ksta_adapted,1,-
0.2067,zwstt,0,degCA
0.2067,B_st,0,-
0.2067,B_stend,0,-
0.2067,anztist,0,count
0.2067,zdgz,0,count
0.2067,tnst_w,0,count
0.2067,fr_w_b1,0,-
0.2067,rlsol_req,0,%
0.2067,rl_max_arb,0.195312,%
0.2067,ff_msv_sat_ticks,0,count
0.2067,ff_prail_add,0,bar
0.2067,ff_win_margin_min,-2.8125,degCA
0.2067,ff_prist_min,60,bar
0.2067,ff_diag_ticks,57,count
0.2067,prsoll_raw,0,bar
0.2067,prsoll_clamped,0,bar
0.2067,prsoll_rate,0,bar
0.2067,prsoll_w,61,bar
0.2067,prist_w,60,bar
0.2067,prdiff,0,bar
0.2067,vhdp_spare,16,-
0.2067,vmsv_limited,512,-
0.2067,wbho1s_w,4.6875,degCA
0.2067,dwi_inj_angle,7.5,degCA
0.2067,win_margin_req,0,0.75 degCA
0.2067,ti_sum,2400,us
0.5478,ff_magic,1179004977,-
0.5478,ff_length,76,B
0.5478,ff_csum,64076,-
0.5478,ff_e_filt,5,%
0.5478,ff_f_q10,1.0332,-
0.5478,ff_mode,1,-
0.5478,ff_status,0,-
0.5478,ff_e_raw,85,%
0.5478,ff_t_fuel,25,degC
0.5478,ff_frame_ctr,23,-
0.5478,ff_fw_ver,1,-
0.5478,ff_cal_mode,1,-
0.5478,ff_cal_ok,1,-
0.5478,ff_age_ticks,0.16,s
0.5478,ff_hold_ticks,0,s
0.5478,ff_frames,24,count
0.5478,ff_faults,0,count
0.5478,ff_stall,0,count
0.5478,ff_src_owner,1,-
0.5478,ff_src_seen,1,-
0.5478,ff_src_foreign,0,count
0.5478,ff_ticks,251,count
0.5478,ff_e_key,0,%
0.5478,ff_e_frac,157,-
0.5478,ff_frame_bad,0,-
0.5478,ff_dzw_e,0,degCA
0.5478,ff_fzw_q8,0,-
0.5478,ff_rk_calls,135,count
0.5478,ff_e_persist,0,%
0.5478,ff_persist_state,0,-
0.5478,ff_persist_err,2,-
0.5478,ff_diag_e_pct,5,%
0.5478,ff_diag_f_pct,103,%
0.5478,ff_diag_t_degc,25,degC
0.5478,ff_persist_wait,57.49,s
0.5478,ff_persist_writes,0,count
0.5478,ff_persist_fails,0,count
0.5478,eep_blk8_mirror_b0,0,%
0.5478,eep_blk8_mirror_b1,0,%
0.5478,eep_blk8_mirror_b2,0,%
0.5478,eep_blk8_mirror_b14,0,-
0.5478,eep_blk8_mirror_b29,0,-
0.5478,eep_blk8_mirror_csum,0,-
0.5478,nvm_queue_state,0,-
0.5478,raster_setA_10ms_count,250,count
0.5478,raster_setB_10ms_count,0,count
0.5478,raster_setB_1ms_count,0,count
0.5478,rk_fuel_mass,1427,-
0.5478,zwist_display_b1,15,degCA
0.5478,dwkrz_0,0,degCA
0.5478,dwkrz_1,0,degCA
0.5478,dwkrz_2,0,degCA
0.5478,dwkrz_3,0,degCA
0.5478,dwkrz_4,0,degCA
0.5478,dwkrz_5,0,degCA
0.5478,wkrm,0,degCA
0.5478,zw_low_octane_latch,0,-
0.5478,rl_w,36.0596,%
0.5478,nmot_w,1352,rpm
0.5478,rl_for_fuel,36.0596,%
0.5478,tmot,21,degC
0.5478,can_rx_spare0_b0,85,%
0.5478,can_rx_spare0_ctr,30,-
0.5478,ff_fst_q10,1,-
0.5478,ff_zwst_add,0,degCA
0.5478,tmst,-48,degC
0.5478,ksta_adapted,1,-
0.5478,zwstt,0,degCA
0.5478,B_st,0,-
0.5478,B_stend,0,-
0.5478,anztist,0,count
0.5478,zdgz,0,count
0.5478,tnst_w,0,count
0.5478,fr_w_b1,0,-
0.5478,rlsol_req,0,%
0.5478,rl_max_arb,0.195312,%
0.5478,ff_msv_sat_ticks,0,count
0.5478,ff_prail_add,0,bar
0.5478,ff_win_margin_min,-2.8125,degCA
0.5478,ff_prist_min,60,bar
0.5478,ff_diag_ticks,49,count
0.5478,prsoll_raw,0,bar
0.5478,prsoll_clamped,0,bar
0.5478,prsoll_rate,0,bar
0.5478,prsoll_w,61,bar
0.5478,prist_w,60,bar
0.5478,prdiff,0,bar
