# session: ff_fuel, 2026-09-22T20:03:22+03:00
# ecu: 03H906032 / 1037382557
# dump_sha256: b15590d3f1874ace3125c5d047c09a686db9b8bb498187663539ebab205609b3
# transport: KWP2000 0x2C/0x21 over TP2.0
# source_file: /Users/carlo/ecu_azx/.claude/worktrees/agent-a75332f8901c56fe1/logging/sessions/ff_fuel.json
# simulated: true
# simulated_by: logging/ecu_sim.py -- NOT a recording of an ECU
# sim_patch: /Users/carlo/ecu_azx/.claude/worktrees/agent-a75332f8901c56fe1/patches/ff_fuel
# sim_time_scale: 5
time_s,var,value,unit
0.5488,ff_zwst_add,0,degCA
0.5488,tmst,-48,degC
0.5488,ksta_adapted,1,-
0.5488,zwstt,0,degCA
0.5488,B_st,0,-
0.5488,B_stend,0,-
0.5488,anztist,0,count
0.5488,zdgz,0,count
0.5488,tnst_w,0,count
0.5488,fr_w_b1,0,-
0.5488,rlsol_req,0,%
0.5488,rl_max_arb,0.195312,%
0.5488,ff_msv_sat_ticks,0,count
0.5488,ff_prail_add,0,bar
0.5488,ff_win_margin_min,-2.8125,degCA
0.5488,ff_prist_min,60,bar
0.5488,ff_diag_ticks,42,count
0.5488,prsoll_raw,0,bar
0.5488,prsoll_clamped,0,bar
0.5488,prsoll_rate,0,bar
0.5488,prsoll_w,61,bar
0.5488,prist_w,60,bar
0.5488,prdiff,0,bar
0.5488,vhdp_spare,16,-
0.5488,vmsv_limited,512,-
0.5488,wbho1s_w,4.6875,degCA
0.5488,dwi_inj_angle,7.5,degCA
0.5488,win_margin_req,0,0.75 degCA
0.5488,ti_sum,2400,us
0.8808,ff_magic,1179004977,-
0.8808,ff_length,76,B
0.8808,ff_csum,64420,-
0.8808,ff_e_filt,0,%
0.8808,ff_f_q10,1,-
0.8808,ff_mode,3,-
0.8808,ff_status,3,-
0.8808,ff_e_raw,85,%
0.8808,ff_t_fuel,25,degC
0.8808,ff_frame_ctr,34,-
0.8808,ff_fw_ver,1,-
0.8808,ff_cal_mode,1,-
0.8808,ff_cal_ok,1,-
0.8808,ff_age_ticks,3.6,s
0.8808,ff_hold_ticks,0,s
0.8808,ff_frames,0,count
0.8808,ff_faults,0,count
0.8808,ff_stall,0,count
0.8808,ff_src_owner,1,-
0.8808,ff_src_seen,1,-
0.8808,ff_src_foreign,0,count
0.8808,ff_ticks,360,count
0.8808,ff_e_key,0,%
0.8808,ff_e_frac,0,-
0.8808,ff_frame_bad,1,-
0.8808,ff_dzw_e,0,degCA
0.8808,ff_fzw_q8,0,-
0.8808,ff_rk_calls,215,count
0.8808,ff_e_persist,0,%
0.8808,ff_persist_state,0,-
0.8808,ff_persist_err,2,-
0.8808,ff_diag_e_pct,0,%
0.8808,ff_diag_f_pct,100,%
0.8808,ff_diag_t_degc,25,degC
0.8808,ff_persist_wait,56.4,s
0.8808,ff_persist_writes,0,count
0.8808,ff_persist_fails,0,count
0.8808,eep_blk8_mirror_b0,0,%
0.8808,eep_blk8_mirror_b1,0,%
0.8808,eep_blk8_mirror_b2,0,%
0.8808,eep_blk8_mirror_b14,0,-
0.8808,eep_blk8_mirror_b29,0,-
0.8808,eep_blk8_mirror_csum,0,-
0.8808,nvm_queue_state,0,-
0.8808,raster_setA_10ms_count,359,count
0.8808,raster_setB_10ms_count,0,count
0.8808,raster_setB_1ms_count,0,count
0.8808,rk_fuel_mass,1619,-
0.8808,zwist_display_b1,15,degCA
0.8808,dwkrz_0,0,degCA
